<hydr>,<mvideo>,<novatek>,<sber>
0.7375000,572.5000000,1106.0000000,228.7700000
0.7308000,579.0000000,1097.0000000,222.8700000
0.7290000,578.0000000,1095.0000000,222.2000000
0.7265000,562.8000000,1130.4000000,221.8400000
0.7277000,568.5000000,1113.6000000,221.6200000
0.7218000,567.5000000,1102.8000000,216.0200000
0.7365000,586.4000000,1092.0000000,218.0500000
0.7434000,586.4000000,1078.0000000,220.6900000
0.7455000,583.0000000,1077.8000000,222.0000000
0.7440000,583.4000000,1091.2000000,228.6200000
0.7515000,582.1000000,1118.2000000,230.0000000
0.7490000,580.8000000,1114.4000000,231.6200000
0.7605000,583.4000000,1125.0000000,232.8700000
0.7697000,576.0000000,1122.0000000,230.3000000
0.7551000,590.2000000,1092.0000000,226.8200000
0.7629000,603.3000000,1087.6000000,228.8300000
0.7538000,603.7000000,1054.0000000,228.7700000
0.7600000,636.0000000,1063.0000000,229.8200000
0.7540000,628.8000000,1081.4000000,227.7400000
0.7581000,653.5000000,1092.0000000,228.5500000
0.7579000,656.6000000,1073.2000000,225.7900000
0.7609000,679.1000000,1064.0000000,230.2800000
0.7654000,683.7000000,1050.4000000,227.5000000